model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Alabama,16152,16039,16112,16190,16263
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Alaska,863,836,853,872,889
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Arizona,21907,21797,21868,21945,22016
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Arkansas,8648,8591,8628,8668,8705
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,California,73636,73551,73606,73665,73720
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Colorado,8855,8754,8819,8890,8955
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Connecticut,8837,8818,8830,8843,8855
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Delaware,2162,2145,2156,2168,2179
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,District of Columbia,1195,1194,1194,1196,1196
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Florida,61046,60990,61026,61065,61101
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Georgia,30146,30100,30130,30162,30192
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Hawaii,1009,987,1001,1017,1031
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Idaho,3828,3773,3808,3846,3882
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Illinois,28638,28617,28630,28645,28659
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Indiana,17257,17184,17231,17282,17329
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Iowa,7269,7200,7244,7292,7336
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Kansas,6750,6664,6720,6779,6834
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Kentucky,10389,10273,10348,10428,10503
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Louisiana,14737,14702,14725,14750,14772
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Maine,1259,1239,1252,1266,1278
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Maryland,11125,11093,11113,11137,11158
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Massachusetts,19235,19202,19223,19246,19267
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Michigan,24655,24506,24602,24705,24801
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Minnesota,9299,9222,9272,9326,9376
BPagano,2021-11-15,1 wk ahead cum death,2021-11-20,Mississippi,10224,10199,10215,10233,10249
